sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio,petal_ratio,sepal_petal_ratio
,,,,species,,,
5.1,3.5,1.4,0.2,setosa,1.457142857142857,6.999999999999999,
4.9,3.0,1.4,0.2,setosa,1.6333333333333335,6.999999999999999,
4.7,3.2,1.3,0.2,setosa,1.46875,6.5,
4.6,3.1,1.5,0.2,setosa,1.4838709677419353,7.5,
5.0,3.6,1.4,0.2,setosa,1.3888888888888888,6.999999999999999,
5.4,3.9,1.7,0.4,setosa,1.3846153846153848,4.25,
4.6,3.4,1.4,0.3,setosa,1.352941176470588,4.666666666666667,
5.0,3.4,1.5,0.2,setosa,1.4705882352941178,7.5,
4.4,2.9,1.4,0.2,setosa,1.517241379310345,6.999999999999999,
